serve,cluster,vx0,vy0,vz0,wx0,wy0,wz0,vhx,vhy,vhz,whx,why,whz,pred_y,pred_z,pred_t,true_y,true_z,true_t,n_frames,pred_oracle_y,pred_oracle_z
0,topspin,5.8876,0.1986,0.9439,-13.36,311.81,-24.79,5.9097,-0.0045,0.7113,-981.3921,134.1937,161.2466,0.3095,0.1361,0.5173,0.0692,0.1991,0.4993,37,0.0055,0.1698
2,backspin,4.8039,-0.0275,0.8509,10.43,-277.05,-11.44,4.8117,-0.0505,0.7586,-85.1808,-321.8544,-14.368,-0.0112,0.1234,0.6801,-0.0438,0.1372,0.6889,48,-0.0436,0.1044
3,topspin,5.8844,0.2445,0.8038,-3.53,279.3,6.78,5.8485,0.5099,0.9846,1100.0,415.2959,-251.4508,-0.1893,0.113,0.5101,0.1043,0.1865,0.5055,35,0.2017,0.171
5,backspin,4.9975,-0.1262,0.7524,-14.68,-258.31,26.52,5.003,-0.2788,0.835,-566.7037,-177.5766,171.8301,0.2096,0.1261,0.6309,-0.0113,0.1398,0.6584,46,-0.1105,0.1344
6,topspin,5.6065,-0.2481,0.9575,-8.75,325.53,2.76,5.5702,-0.2124,0.9802,1100.0,254.6269,-91.1558,-0.3596,0.1095,0.543,-0.0853,0.1921,0.5209,37,-0.0699,0.1742
7,flat,5.4117,0.1736,0.9099,20.38,-26.41,21.48,5.4179,0.3167,0.7799,756.273,-87.6697,-142.8202,-0.1245,0.1508,0.5716,0.0775,0.1581,0.6157,43,0.1618,0.1179
8,backspin,5.0062,0.1857,0.8223,11.43,-271.98,1.86,5.002,0.0598,0.7519,-592.5431,-346.1273,133.8051,0.2919,0.1444,0.6298,0.0795,0.1587,0.6537,48,0.028,0.1311
9,topspin,5.5553,-0.1749,0.9541,-1.0,356.69,35.96,5.5883,0.1474,0.9563,725.914,347.6422,-210.7144,-0.3659,0.1212,0.5382,-0.0368,0.1905,0.5187,36,0.0772,0.1771
10,flat,5.5261,0.069,0.9191,1.91,-15.62,-14.48,5.557,-0.1342,0.9601,-1100.0,14.1672,138.4221,0.2102,0.1495,0.5519,0.0137,0.1687,0.5997,43,-0.0728,0.1535
11,backspin,4.922,-0.2016,0.9436,-19.85,-257.81,16.17,4.9158,-0.3659,0.9721,-495.8789,-229.9836,93.0133,0.056,0.1549,0.6394,-0.0559,0.1695,0.667,50,-0.155,0.1482
12,topspin,6.1615,0.0811,0.7829,18.86,357.58,-8.18,6.1098,0.2778,0.6359,1100.0,257.8287,-254.6359,-0.2634,0.123,0.4962,0.0049,0.1948,0.4697,34,0.0713,0.1732
13,flat,5.4837,-0.1773,0.7981,-6.42,10.89,8.81,5.485,-0.0406,0.589,808.9456,-144.4024,-122.527,-0.2735,0.1381,0.5663,-0.0627,0.1333,0.6115,40,-0.0056,0.0838
14,backspin,5.3072,0.0708,0.8639,-0.17,-245.53,29.15,5.3266,-0.0135,0.9427,-778.4794,-192.339,86.5575,0.1926,0.1626,0.5813,0.0647,0.18,0.6078,48,0.0268,0.1697
15,topspin,5.2419,0.1881,0.8669,-5.1,372.09,-0.13,5.2842,-0.037,0.9843,-1100.0,482.6256,256.2075,0.4803,0.0233,0.5713,0.0823,0.1751,0.5337,35,-0.0059,0.1742
