t,u,v,npix,nsharp
0.005,319.463768115942,343.4347826086956,69,10
0.013,319.55882352941177,339.88235294117646,68,11
0.021000000000000005,319.55384615384617,336.67692307692306,65,11
0.029,319.5,334.0,60,11
0.037000000000000005,319.49152542372883,331.5762711864407,59,8
0.045,319.5,329.2142857142857,56,13
0.053000000000000005,319.5,327.3703703703704,54,24
0.061000000000000006,319.5,325.5,52,32
0.069,319.5,324.0,52,33
0.07700000000000001,319.5,322.7083333333333,48,32
0.085,319.48936170212767,321.78723404255317,47,32
0.093,319.4186046511628,320.9767441860465,43,28
0.101,319.5813953488372,320.0232558139535,43,23
0.109,319.5121951219512,319.7073170731707,41,22
0.117,319.45,319.1,40,16
0.125,319.56410256410254,319.05128205128204,39,16
0.133,319.47222222222223,318.8888888888889,36,15
0.14100000000000001,319.57142857142856,318.8857142857143,35,15
0.14900000000000002,319.65714285714284,319.0571428571429,35,15
0.157,319.5151515151515,319.3939393939394,33,16
0.165,319.5806451612903,319.5483870967742,31,18
0.17300000000000001,319.5625,320.3125,32,18
0.18100000000000002,319.5483870967742,320.5806451612903,31,19
0.189,319.5,321.5,32,18
0.197,319.5,322.29411764705884,34,18
0.20500000000000002,319.5,323.0,30,18
0.21300000000000002,319.5,324.0,30,16
0.221,319.5,325.2142857142857,28,16
0.229,319.5,326.3333333333333,30,18
0.23700000000000002,319.4,327.04,25,12
0.24500000000000002,319.5,327.8888888888889,18,6
0.253,319.5,328.5,8,0
0.30100000000000005,319.25,328.25,8,0
0.309,319.5,327.0833333333333,24,10
0.317,319.53846153846155,324.61538461538464,26,11
0.325,319.48,322.12,25,11
0.333,319.6,319.72,25,10
0.341,319.5,317.5,20,1
0.34900000000000003,319.5,315.22222222222223,18,0
0.35700000000000004,319.5,313.22222222222223,18,0
0.36500000000000005,319.5,311.5,18,0
0.373,319.5882352941176,309.88235294117646,17,0
0.381,319.5,308.0,16,0
0.389,319.5882352941176,306.88235294117646,17,0
0.397,319.5,305.5,16,0
0.405,319.53333333333336,304.1333333333333,15,0
0.41300000000000003,319.5,303.0,16,0
0.42100000000000004,319.5,302.2857142857143,14,0
0.42900000000000005,319.38461538461536,301.38461538461536,13,2
0.437,319.5,300.2857142857143,14,6
0.445,319.5,299.7142857142857,14,8
0.453,319.53333333333336,299.1333333333333,15,9
0.461,319.5,298.7142857142857,14,9
0.46900000000000003,319.6,298.4,15,12
0.47700000000000004,319.53333333333336,298.1333333333333,15,8
0.48500000000000004,319.5,297.7142857142857,14,8
0.49300000000000005,319.5,297.7142857142857,14,10
