t,u,v,npix,nsharp
0.002,319.56716417910445,344.7761194029851,67,49
0.008,319.53846153846155,342.15384615384613,65,47
0.017,319.5,338.35483870967744,62,46
0.025,319.5,335.5,60,45
0.033,319.5,332.86206896551727,58,41
0.041,319.5,330.5,52,36
0.049,319.5,328.5,52,37
0.057,319.5,326.5,52,34
0.065,319.57142857142856,324.6734693877551,49,35
0.07300000000000001,319.5,323.5,52,33
0.081,319.5,322.2916666666667,48,34
0.08900000000000001,319.531914893617,321.36170212765956,47,31
0.097,319.5777777777778,320.46666666666664,45,28
0.10500000000000001,319.4186046511628,319.9767441860465,43,22
0.113,319.5,319.2,40,18
0.12100000000000001,319.5,319.0,40,16
0.129,319.60526315789474,318.9736842105263,38,16
0.137,319.57142857142856,318.8857142857143,35,16
0.14500000000000002,319.61764705882354,318.97058823529414,34,15
0.153,319.54545454545456,319.2121212121212,33,15
0.161,319.5806451612903,319.5483870967742,31,16
0.169,319.46875,319.96875,32,17
0.17700000000000002,319.5,320.5,32,18
0.185,319.59375,321.15625,32,20
0.193,319.46875,321.6875,32,18
0.201,319.5,322.5,32,19
0.20900000000000002,319.5,323.5,32,19
0.21700000000000003,319.4516129032258,324.5806451612903,31,18
0.225,319.5,325.7857142857143,28,17
0.233,319.48275862068965,327.1034482758621,29,16
0.24100000000000002,319.46666666666664,328.3666666666667,30,18
0.24900000000000003,319.5,329.7857142857143,28,16
0.257,319.5,331.2142857142857,28,16
0.265,319.5,332.7857142857143,28,15
0.273,319.5,334.2142857142857,28,16
0.281,319.5,336.0,26,15
0.28900000000000003,319.5,335.0,26,16
0.29700000000000004,319.4,331.96,25,14
0.305,319.4,328.96,25,14
0.313,319.6,326.04,25,15
0.321,319.5,323.5,24,13
0.329,319.60869565217394,320.95652173913044,23,14
0.337,319.5,318.8,20,6
0.34500000000000003,319.52941176470586,316.3529411764706,17,0
0.35300000000000004,319.52941176470586,314.3529411764706,17,0
0.36100000000000004,319.6,312.6,15,0
0.36900000000000005,319.5,310.5,16,0
0.377,319.5,309.0,16,0
0.385,319.5,307.5,16,0
0.393,319.53333333333336,306.1333333333333,15,0
0.401,319.46666666666664,304.8666666666667,15,0
0.40900000000000003,319.6,303.6,15,0
0.41700000000000004,319.5,302.5,16,0
0.42500000000000004,319.5,301.7142857142857,14,0
0.43300000000000005,319.46666666666664,300.8666666666667,15,3
0.441,319.53333333333336,300.1333333333333,15,6
0.449,319.5,299.5,16,10
0.457,319.5,299.0,14,9
0.465,319.5,298.5,16,12
0.47300000000000003,319.5,298.2857142857143,14,9
0.48100000000000004,319.5,298.0,16,8
0.48900000000000005,319.5,297.7142857142857,14,9
0.49700000000000005,319.5,297.7142857142857,14,10
